week,date,workgroup,backlog,open,created,started,closed,net_flow
2026-W28,2026-07-11,LE - Africa,17,8,0,0,0,0
2026-W28,2026-07-11,LE - Canada and USA,28,14,0,0,0,0
2026-W28,2026-07-11,LE - Eastern Europe and Central Asia,17,31,0,0,0,0
2026-W28,2026-07-11,LE - Mexico and Latin America,18,11,0,0,0,0
2026-W28,2026-07-11,LE - North and Central Europe,40,50,0,0,0,0
2026-W28,2026-07-11,LE - Northeast Asia,24,8,0,0,0,0
2026-W28,2026-07-11,LE - South Asia and Middle East,42,21,0,0,0,0
2026-W28,2026-07-11,LE - South West Europe,27,6,0,0,0,0
2026-W28,2026-07-11,LE - Southeast Asia and Oceania,21,9,0,0,0,0
2026-W28,2026-07-11,Map Experts Gent,5,0,0,0,0,0
2026-W28,2026-07-11,Map Experts Internal,37,11,0,0,0,0
2026-W28,2026-07-11,Map Experts Lebanon,79,38,0,0,0,0
2026-W28,2026-07-11,Map Experts Lodz,2,4,0,0,0,0
2026-W28,2026-07-11,Map Experts Pune,44,2,0,0,0,0
2026-W28,2026-07-11,Unassigned,14,13,0,0,0,0
2026-W29,2026-07-18,LE - Africa,18,7,0,0,0,0
2026-W29,2026-07-18,LE - Canada and USA,13,14,0,0,0,0
2026-W29,2026-07-18,LE - Eastern Europe and Central Asia,2,34,0,0,0,0
2026-W29,2026-07-18,LE - Mexico and Latin America,15,10,0,0,0,0
2026-W29,2026-07-18,LE - North and Central Europe,30,53,0,0,0,0
2026-W29,2026-07-18,LE - Northeast Asia,25,5,0,0,0,0
2026-W29,2026-07-18,LE - South Asia and Middle East,34,26,0,0,0,0
2026-W29,2026-07-18,LE - South West Europe,14,5,0,0,0,0
2026-W29,2026-07-18,LE - Southeast Asia and Oceania,17,8,0,0,0,0
2026-W29,2026-07-18,Map Experts Gent,7,1,0,0,0,0
2026-W29,2026-07-18,Map Experts Internal,41,12,0,0,0,0
2026-W29,2026-07-18,Map Experts Lebanon,71,33,0,0,0,0
2026-W29,2026-07-18,Map Experts Lodz,5,1,0,0,0,0
2026-W29,2026-07-18,Map Experts Pune,42,2,0,0,0,0
2026-W29,2026-07-18,Unassigned,11,6,0,0,0,0
2026-W30,2026-07-25,LE - Africa,18,5,0,0,0,0
2026-W30,2026-07-25,LE - Canada and USA,13,14,0,0,0,0
2026-W30,2026-07-25,LE - Eastern Europe and Central Asia,10,21,0,0,0,0
2026-W30,2026-07-25,LE - Mexico and Latin America,10,11,0,0,0,0
2026-W30,2026-07-25,LE - North and Central Europe,35,57,0,0,0,0
2026-W30,2026-07-25,LE - Northeast Asia,21,6,0,0,0,0
2026-W30,2026-07-25,LE - South Asia and Middle East,31,27,0,0,0,0
2026-W30,2026-07-25,LE - South West Europe,18,10,0,0,0,0
2026-W30,2026-07-25,LE - Southeast Asia and Oceania,15,6,0,0,0,0
2026-W30,2026-07-25,Map Experts Gent,5,2,0,0,0,0
2026-W30,2026-07-25,Map Experts Internal,36,12,0,0,0,0
2026-W30,2026-07-25,Map Experts Lebanon,75,29,0,0,0,0
2026-W30,2026-07-25,Map Experts Lodz,4,0,0,0,0,0
2026-W30,2026-07-25,Map Experts Pune,28,2,0,0,0,0
2026-W30,2026-07-25,Unassigned,9,2,0,0,0,0
2026-W31,2026-08-01,Content Ops,0,1,0,0,0,0
2026-W31,2026-08-01,LE - Africa,18,5,0,0,0,0
2026-W31,2026-08-01,LE - Canada and USA,16,13,0,0,0,0
2026-W31,2026-08-01,LE - Eastern Europe and Central Asia,11,19,0,0,0,0
2026-W31,2026-08-01,LE - Mexico and Latin America,12,8,0,0,0,0
2026-W31,2026-08-01,LE - North and Central Europe,56,49,0,0,0,0
2026-W31,2026-08-01,LE - Northeast Asia,20,5,0,0,0,0
2026-W31,2026-08-01,LE - South Asia and Middle East,33,28,0,0,0,0
2026-W31,2026-08-01,LE - South West Europe,17,12,0,0,0,0
2026-W31,2026-08-01,LE - Southeast Asia and Oceania,27,6,0,0,0,0
2026-W31,2026-08-01,Map Experts Gent,5,0,0,0,0,0
2026-W31,2026-08-01,Map Experts Internal,35,13,0,0,0,0
2026-W31,2026-08-01,Map Experts Lebanon,74,28,0,0,0,0
2026-W31,2026-08-01,Map Experts Lodz,5,0,0,0,0,0
2026-W31,2026-08-01,Map Experts Pune,24,3,0,0,0,0
2026-W31,2026-08-01,Unassigned,46,3,0,0,0,0
2026-W32,2026-08-08,LE - Africa,23,5,0,0,0,0
2026-W32,2026-08-08,LE - Canada and USA,18,13,0,0,0,0
2026-W32,2026-08-08,LE - Eastern Europe and Central Asia,28,18,0,0,0,0
2026-W32,2026-08-08,LE - Mexico and Latin America,9,15,0,0,0,0
